Título,Gênero(s),Desenvolvedora(s),Publicadora(s),NA,EU,JP,AU
Shadow Complex,Ação & Aventura,Chair Entertainment/Epic Games,Microsoft Studios,19 de agosto de 2009,-,-,-
Shadowrun,Tiro em primeira pessoa,FASA Studio,Microsoft Game Studios,29 de maio de 2007,1 de junho de 2007,21 de junho de 2007,22 de novembro de 2013
Shadows of the Damned,"Tiro em terceira pessoa, Ação",Grasshopper Manufacture,Electronic Arts,21 de junho de 2011,24 de junho de 2011,22 de setembro de 2011,22 de novembro de 2013
Shank,Ação & Aventura,Klei Entertainment,Electronic Arts,25 de agosto de 2010,-,-,-
Shank 2,Ação & Aventura,Klei Entertainment,Electronic Arts,8 de fevereiro de 2012,-,-,-
Shaun White Skateboarding,Esportes,Ubisoft Montreal,Ubisoft,1 de outubro de 2010,1 de outubro de 2010,Não lançado,22 de novembro de 2013
Shaun White Snowboarding,Esportes,Ubisoft Montreal,Ubisoft,16 de novembro de 2008,14 de novembro de 2008,Não lançado,22 de novembro de 2013
Shellshock 2: Blood Trails,Tiro em primeira pessoa,Rebellion Developments,Eidos Interactive,24 de fevereiro de 2009,13 de fevereiro de 2009,Não lançado,22 de novembro de 2013
Sherlock Holmes vs. Jack the Ripper,Aventura,Frogwares,Focus Home Interactive,26 de maio de 2009,29 de maio de 2009,9 de junho de 2009,22 de novembro de 2013
Sherlock Holmes: Crimes & Punishments,Aventura,Frogwares,Focus Home Interactive,30 de setembro de 2014,3 de outubro de 2014,30 de setembro de 2014,22 de novembro de 2013
Need for Speed: Shift 2 Unleashed,Corrida,Slightly Mad Studios,Electronic Arts,8 de março de 2011,10 de março de 2011,Não lançado,22 de novembro de 2013
Shin Sangokumusou 4 Special,"Hack and slash, RPG Tático",Omega Force,Koei,Não lançado,Não lançado,22 de dezembro de 2006,22 de novembro de 2013
Shinobi,Clássico,Sega/Backbone Entertainment,Sega,10 de junho de 2009,-,-,-
Shoot Many Robots,Ação & Aventura,Demiurge Studios,Ubisoft,14 de março de 2012,-,-,-
"Shooting Love, 10 Shuunen XIIzeal & Deltazeal",Shoot 'em up,Triangle Service,Triangle Service,Não lançado,Não lançado,19 de fevereiro de 2009,Não lançado
"Shooting Love, 200X[nota 58]",Shoot 'em up,Triangle Service,Triangle Service,Não lançado,Não lançado,19 de fevereiro de 2009,22 de novembro de 2013
Shotest Shogi,Puzzle & Trivia,Rubicon Development,Microsoft Studios,10 de setembro de 2008,-,-,-
Shred Nebula,Tiro,CrunchTime Games,Microsoft Studios,3 de setembro de 2008,-,-,-
Shrek Forever After,Ação & Aventura,XPEC,Activision,18 de maio de 2010,18 de junho de 2010,Não lançado,22 de novembro de 2013
Shrek n' Roll,Família & Educacional,Backbone Entertainment,Activision,14 de novembro de 2007,-,-,-
Shrek the Third,Ação & Aventura,7 Studios,Activision,15 de maio de 2007,22 de junho de 2007,Não lançado,22 de novembro de 2013
Silent Hill HD Collection,Survival Horror,Konami,Konami,20 de março de 2012,29 de março de 2012,29 de março de 2012,22 de novembro de 2013
Silent Hill: Downpour,Survival Horror,Vatra Games,Konami,13 de maio de 2012,30 de maio de 2012,Não lançado,22 de novembro de 2013
Silent Hill: Homecoming,Survival Horror,Konami,Konami,30 de setembro de 2008,27 de fevereiro de 2009,Não lançado,22 de novembro de 2013
"Simpsons Arcade Game, TheThe Simpsons Arcade Game",Clássico,Konami/Backbone Entertainment,Konami,3 de fevereiro de 2012,-,-,-
Sine Mora,Tiro,Grasshopper Manufacture/Digital Reality,Microsoft Studios,21 de março de 2012,-,-,-
Singularity,Tiro em primeira pessoa,Raven Software,Activision,29 de junho de 2010,25 de junho de 2010,Não lançado,22 de novembro de 2013
Skate.,Esportes,EA Canada,Electronic Arts,14 de setembro de 2007,28 de setembro de 2007,13 de março de 2008,22 de novembro de 2013
Skate 2,Esportes,EA Canada,Electronic Arts,21 de janeiro de 2009,23 de janeiro de 2009,23 de janeiro de 2009,22 de novembro de 2013
Skate 3,Esportes,EA Canada,Electronic Arts,11 de maio de 2010,14 de maio de 2010,Não lançado,22 de novembro de 2013
Ski-Doo: Snowmobile Challenge,"Esportes, Corria",Coldwood Interactive,Crave Entertainment,24 de março de 2009,24 de março de 2009,Não lançado,22 de novembro de 2013
Skullgirls/Skullgirls Encore,Luta,Lab Zero Games,Autumn Games/Marvelous Interactive Inc.,11 de abril de 2012,-,-,-
Skulls of the Shogun,Estratégia & Simulação,17-BIT,Microsoft Studios,30 de janeiro de 2013,-,-,-
Skydive: Proximity Flight,Esportes & Recreação,Gaijin Entertainment,TopWare Interactive,14 de março de 2014,-,-,-
SkyDrift,Ação & Aventura,Digital Reality,Bandai Namco Entertainment,7 de setembro de 2011,-,-,-
Skylanders: Giants,Plataforma,Toys for Bob,Activision,21 de outubro de 2012,19 de outubro de 2012,Não lançado,22 de novembro de 2013
Skylanders: Imaginators,Plataforma,Toys for Bob,Activision,16 de outubro de 2016,16 de outubro de 2016,Não lançado,22 de novembro de 2013
Skylanders: Spyro's Adventure,Plataforma,Toys for Bob,Activision,16 de outubro de 2011,14 de outubro de 2011,Não lançado,22 de novembro de 2013
Skylanders: SuperChargers,Plataforma,Beenox,Activision,20 de setembro de 2015,25 de setembro de 2015,Não lançado,22 de novembro de 2013
Skylanders: Swap Force,Plataforma,Vicarious Visions,Activision,13 de outubro de 2013,18 de outubro de 2013,Não lançado,22 de novembro de 2013
Skylanders: Trap Team,Plataforma,Vicarious Visions,Activision,5 de outubro de 2014,5 de outubro de 2014,Não lançado,22 de novembro de 2013
Sleeping Dogs,"Ação, Mundo aberto",United Front Games,Square Enix,14 de agosto de 2012,17 de agosto de 2012,Não lançado,22 de novembro de 2013
Slender: The Arrival,Ação & Aventura,Blue Isle Studios,Midnight City,24 de setembro de 2014,-,-,-
Small Arms,Ação & Aventura,Gastronaut Studios,Microsoft Studios,22 de novembro de 2006,-,-,-
Smash Court Tennis 3,Esportes,Namco Bandai Games,Namco Bandai Games,19 de agosto de 2008,29 de agosto de 2008,13 de dezembro de 2007,22 de novembro de 2013
Smash TV,Clássico,Midway Games/Digital Eclipse,Midway Games,22 de novembro de 2005,-,-,-
Sneak King,"Stealth, Ação",Blitz Games,King Games,19 de novembro de 2006,19 de novembro de 2006,Não lançado,22 de novembro de 2013
Sniper Elite III,"Tactical shooter, stealth",Rebellion Developments,505 Games,1 de julho de 2014,27 de junho de 2014,Não lançado,22 de novembro de 2013
Sniper Elite V2,"Tactical shooter, stealth",Rebellion Developments,505 Games,2 de maio de 2012,4 de maio de 2013,Não lançado,22 de novembro de 2013
Sniper: Ghost Warrior,Tiro em primeira pessoa,City Interactive,City Interactive,29 de junho de 2010,24 de junho de 2010,Não lançado,22 de novembro de 2013
Sniper: Ghost Warrior 2,Tiro em primeira pessoa,City Interactive,City Interactive,12 de março de 2013,15 de março de 2013,Não lançado,22 de novembro de 2013
Snipers,Tiro em primeira pessoa,Mighty Rocket Studio,Bigben Interactive,24 de fevereiro de 2012,24 de fevereiro de 2012,Não lançado,Não lançado
Snoopy Flying Ace,Tiro,Smart Bomb Interactive,Microsoft Studios,2 de junho de 2010,-,-,-
Soldier of Fortune: Payback,Tiro em primeira pessoa,Activision,Activision,13 de novembro de 2007,7 de dezembro de 2007,Não lançado,22 de novembro de 2013
Soltrio Solitaire,Cartas,Silver Creek Entertainment,Microsoft Studios,16 de maio de 2007,-,-,-
Sonic & All-Stars Racing Transformed,Corrida,Sumo Digital,Sega,20 de novembro de 2012,16 de novembro de 2012,22 de novembro de 2012,22 de novembro de 2013
Sonic & Sega All-Stars Racing,Corrida,Sumo Digital,Sega,23 de fevereiro de 2010,26 de fevereiro de 2010,25 de fevereiro de 2010,22 de novembro de 2013
Sonic Adventure,Clássico,Sonic Team,Sega,15 de setembro de 2010,-,-,-
Sonic Adventure 2,Clássico,Sonic Team,Sega,5 de outubro de 2012,-,-,-
Sonic Free Riders,-,Sonic Team,Sega,4 de novembro de 2010,10 de novembro de 2010,18 de novembro de 2010,20 de novembro de 2010
Sonic Generations,"Plataforma, Ação e aventura",Sonic Team,Sega,1 de novembro de 2011,3 de novembro de 2011,1 de dezembro de 2011,22 de novembro de 2013
Sonic the Fighters,Luta,Sega AM2,Sega,28 de novembro de 2012,-,-,-
Sonic the Hedgehog,Clássico,Sonic Team,Sega,11 de julho de 2007,-,-,-
Sonic the Hedgehog,Plataforma,Sonic Team,Sega,14 de novembro de 2006,24 de novembro de 2006,21 de dezembro de 2006,22 de novembro de 2013
Sonic the Hedgehog 2,Clássico,Sonic Team,Sega,12 de setembro de 2007,-,-,-
Sonic the Hedgehog 2aSonic CD,Clássico,Sonic Team/Christian Whitehead,Sega,14 de dezembro de 2011,-,-,-
Sonic the Hedgehog 3,Clássico,Sonic Team/Backbone Entertainment,Sega,10 de junho de 2009,-,-,-
Sonic the Hedgehog 3aSonic & Knuckles,Clássico,Sonic Team/Backbone Entertainment,Sega,9 de setembro de 2009,-,-,-
Sonic the Hedgehog 4: Episode I,Plataforma,Sonic Team/Dimps,Sega,13 de outubro de 2010,-,-,-
Sonic the Hedgehog 4: Episode II,Plataforma,Sonic Team/Dimps,Sega,16 de maio de 2012,-,-,-
Sonic Unleashed[nota 59],"Plataforma, Ação",Sonic Team,Sega,18 de novembro de 2008,28 de novembro de 2008,19 de fevereiro de 2009,22 de novembro de 2013
Sonic's Ultimate Genesis Collection[nota 60],Compilação,Backbone Entertainment,Sega,10 de fevereiro de 2009,26 de fevereiro de 2009,Não lançado,22 de novembro de 2013
SoulCalibur,Ação & Aventura,Bandai Namco Entertainment,Bandai Namco Entertainment,2 de julho de 2008,-,-,-
Soulcalibur II HD Online,Luta,Namco,Bandai Namco Entertainment,20 de novembro de 2013,-,-,-
Soulcalibur IV,Luta,Namco Bandai Games,Namco Bandai Games,29 de julho de 2008,31 de julho de 2008,31 de julho de 2008,22 de novembro de 2013
Soulcalibur V,Luta,Namco Bandai Games,Namco Bandai Games,31 de janeiro de 2012,3 de fevereiro de 2012,31 de janeiro de 2012,22 de novembro de 2013
South Park Let's Go Tower Defense Play!,Estratégia & Simulação,Doublesix,Microsoft Studios,7 de outubro de 2009,-,-,-
South Park: Tenorman's Revenge,Ação & Aventura,Other Ocean Interactive,Microsoft Studios,30 de março de 2012,-,-,-
South Park: The Stick of Truth,RPG eletrônico,Obsidian Entertainment,Ubisoft,4 de março de 2014,7 de março de 2014,6 de março de 2014,22 de novembro de 2013
Space Ark,Família & Educacional,Strawdog Studios,Microsoft Studios,16 de junho de 2010,-,-,-
Space Channel 5: Part 2,Clássico,United Game Artists,Sega,5 de outubro de 2011,-,-,-
Space Chimps,"Plataforma, Aventura",Redtribe,Brash Entertainment,15 de julho de 2008,1 de agosto de 2008,Não lançado,22 de novembro de 2013
Space Giraffe,Ação & Aventura,Llamasoft,Microsoft Studios,22 de agosto de 2007,-,-,-
Space Invaders Extreme,Tiro,Backbone Entertainment,Taito,6 de maio de 2009,-,-,-
Space Invaders Infinity Gene,Tiro,Taito,Square Enix,15 de setembro de 2010,-,-,-
"Space Shooter Bundle(Fusion: Genesis, Ikaruga, Radiant Silvergun e Sine Mora)",Tiro,Misc,Microsoft Studios,24 de julho de 2013,-,-,-
Spare Parts,Ação & Aventura,EA Bright Light,Electronic Arts,19 de janeiro de 2011,-,-,-
Spartacus Legends,Luta,Kung Fu Factory,Ubisoft,26 de junho de 2013,-,-,-
Spec Ops: The Line,"Tiro em terceira pessoa, Tiro tático",Yager,2K Games,26 de junho de 2012,29 de junho de 2012,Não lançado,22 de novembro de 2013
Special Forces: Team X (STX),Tiro,Zombie Studios,Atari,6 de fevereiro de 2013,-,-,-
Spectral Force 3: Innocent Rage,RPG Tático,Idea Factory,Idea Factory,29 de julho de 2008,29 de julho de 2008,11 de agosto de 2006,22 de novembro de 2013
Speedball 2: Brutal Deluxe,Clássico,The Bitmap Brothers/Empire Interactive,Empire Interactive,17 de outubro de 2007,-,-,-
Spelunky,Ação & Aventura,Mossmouth,Microsoft Studios,4 de julho de 2012,-,-,-
Spider-Man 3,"Ação, Mundo aberto",Treyarch,Activision,4 de maio de 2007,4 de maio de 2007,Não lançado,22 de novembro de 2013
Spider-Man: Edge of Time,"Ação & Aventura, Mundo aberto",Beenox,Activision,4 de outubro de 2011,14 de outubro de 2011,Não lançado,22 de novembro de 2013
Spider-Man: Friend or Foe,"Ação & Aventura, Beat 'em up",Next Level Games,Activision,2 de outubro de 2007,12 de outubro de 2007,Não lançado,22 de novembro de 2013
Spider-Man: Shattered Dimensions,"Ação & Aventura, Plataforma, Stealth",Beenox,Activision,7 de setembro de 2010,10 de setembro de 2010,Não lançado,22 de novembro de 2013
Spider-Man: Web of Shadows,"Ação & Aventura, Beat 'em up, Plataforma",Shaba Games,Activision,21 de outubro de 2008,24 de outubro de 2008,Não lançado,22 de novembro de 2013
Splatterhouse,"Beat 'em up, Survival Horror",BottleRocket Entertainment,Namco Bandai Games,23 de novembro de 2010,26 de novembro de 2010,Não lançado,22 de novembro de 2013
"Splatters, TheThe Splatters",Puzzle & Trivia,SpikySnail Games,Microsoft Studios,11 de abril de 2012,-,-,-
Split/Second,Corrida,Black Rock Studio,Disney Interactive Studios,18 de maio de 2010,21 de maio de 2010,Não lançado,22 de novembro de 2013
'Splosion Man,Plataforma,Twisted Pixel Games,Microsoft Studios,22 de julho de 2009,-,-,-
SpongeBob HeroPants,"Ação & Aventura, Plataforma",Behaviour Interactive,Activision,3 de fevereiro de 2015,26 de março de 2015,Não lançado,22 de novembro de 2013
SpongeBob SquarePants: Plankton's Robotic Revenge,"Ação & Aventura, Plataforma, Tiro em terceira pessoa",Behaviour Interactive,Activision,22 de outubro de 2013,11 de outubro de 2013,Não lançado,22 de novembro de 2013
SpongeBob SquarePants: Underpants Slam,Família & Educacional,Blitz Arcade,THQ,26 de dezembro de 2007,-,-,-
SpongeBob's Surf & Skate Roadtrip,-,THQ,THQ,8 de novembro de 2011,11 de novembro de 2011,TBA,TBA
SpongeBob's Truth or Square,Ação,Heavy Iron Studios,THQ,26 de outubro de 2009,13 de novembro de 2009,janeiro de 2010,22 de novembro de 2013
Spyglass Board Games,Cartas,Strange Flavour/Freeverse Inc.,Microsoft Studios,1 de agosto de 2007,-,-,-
SSX[nota 61],Esportes,EA Canada,Electronic Arts,28 de fevereiro de 2012,2 de março de 2012,15 de março de 2012,22 de novembro de 2013
Stacking,RPG da ação,Double Fine,THQ,9 de fevereiro de 2011,-,-,-
Star Ocean: The Last Hope,RPG de ação,tri-Ace,Square Enix,23 de fevereiro de 2009,5 de junho de 2009,19 de fevereiro de 2009,22 de novembro de 2013
Star Raiders,Ação & Aventura,Incinerator Studios,Atari,11 de maio de 2011,-,-,-
Star Trek,Ação,Digital Extremes,"Namco Bandai Games, Paramount Digital Entertainment",23 de abril de 2013,26 de abril de 2013,Não lançado,22 de novembro de 2013
Star Trek DAC,Tiro,Naked Sky Entertainment,Paramount Digital Entertainment,13 de maio de 2009,-,-,-
Star Trek: Legacy,"RTS, Ação e aventura",Mad Doc Software,Bethesda Softworks,14 de dezembro de 2006,22 de dezembro de 2006,Não lançado,22 de novembro de 2013
Star Wars: The Clone Wars – Republic Heroes,Ação & Aventura,Krome Studios,LucasArts,6 de outubro de 2009,6 de outubro de 2009,Não lançado,22 de novembro de 2013
Star Wars: The Force Unleashed,Hack and slash,LucasArts,LucasArts,16 de setembro de 2008,19 de setembro de 2008,Não lançado,22 de novembro de 2013
Star Wars: The Force Unleashed II,Ação,LucasArts,LucasArts,26 de outubro de 2010,31 de dezembro de 2010,Não lançado,22 de novembro de 2013
State of Decay,Ação & Aventura,Undead Labs,Microsoft Studios,5 de junho de 2013,-,-,-
Steel Battalion: Heavy Armor,-,From Software,Capcom,19 de junho de 2012,22 de junho de 2012,28 de junho de 2012,21 de junho de 2012
Steins;Gate,"Romance visual, Aventura","5pb., Nitroplus",5pb.,Não lançado,Não lançado,15 de outubro de 2009,22 de novembro de 2013
Steins;Gate Double Pack[nota 62],"Romance visual, Aventura","5pb., Nitroplus",5pb.,Não lançado,Não lançado,16 de junho de 2011,22 de novembro de 2013
Steins;Gate: Hiyoku Renri no Darling,"Romance visual, Aventura","5pb., Nitroplus",5pb.,Não lançado,Não lançado,16 de junho de 2011,22 de novembro de 2013
Stoked,Esportes,Bongfish,Destineer,20 de janeiro de 2009,2 de outubro de 2009,Não lançado,22 de novembro de 2013
Storm,Puzzle & Trivia,IndiePub,Bandai Namco Entertainment,14 de junho de 2013,-,-,-
Stormrise,RTT,The Creative Assembly,Sega,24 de março de 2009,27 de março de 2009,Não lançado,22 de novembro de 2013
Stranglehold,"Tiro em terceira pessoa, Ação",Midway Games,"Midway Games, SuccessJP",5 de setembro de 2007,14 de setembro de 2007,22 de maio de 2008,22 de novembro de 2013
Strania,Tiro,G.rev,G.rev,30 de março de 2011,-,-,-
Street Fighter II: Hyper Fighting,Clássico,Capcom/Sensory Sweep Studios,Capcom,2 de agosto de 2006,-,-,-
Street Fighter III: 3rd Strike Online Edition,Clássico,Capcom/Iron Galaxy,Capcom,24 de agosto de 2011,-,-,-
Street Fighter IV,Luta,Dimps,Capcom,17 de fevereiro de 2009,20 de fevereiro de 2009,12 de fevereiro de 2009,22 de novembro de 2013
Ultra Street Fighter IV,Luta,Capcom,Capcom,5 de agosto de 2014,5 de agosto de 2014,5 de agosto de 2014,22 de novembro de 2013
Street Fighter X Tekken,Luta,Capcom,Capcom,6 de março de 2012,9 de março de 2012,8 de março de 2012,22 de novembro de 2013
Street Trace NYC,Corrida & Voo,Gaia Industries,Microsoft Studios,22 de agosto de 2007,-,-,-
Streets of Rage 2,Clássico,Sega/Digital Eclipse,Sega,29 de agosto de 2007,-,-,-
Strider,Ação & Aventura,Double Helix Games,Capcom,19 de fevereiro de 2014,-,-,-
Strike Witches: Shirogane no Tsubasa,Romance visual,CyberFront,CyberFront,Não lançado,Não lançado,29 de julho de 2010,22 de novembro de 2013
Stuntman: Ignition,Corrida & Ação,Paradigm Entertainment,THQ,28 de agosto de 2007,31 de agosto de 2007,13 de dezembro de 2007,22 de novembro de 2013
Summer Athletics 2009,Esportes,49Games,DTP Entertainment,Não lançado,Não lançado,Não lançado,22 de novembro de 2013
Summer Athletics: The Ultimate Challenge,Esportes,49Games,DTP Entertainment,29 de julho de 2008,15 de agosto de 2008,Não lançado,22 de novembro de 2013
Summer Challenge: Athletics Tournament,Esportes,Sproing Interactive,RTL Entertainment,18 de março de 2012,14 de fevereiro de 2012,Não lançado,Não lançado
Summer Stars 2012,-,49Games,Deep Silver,n/a,1 de junho de 2012,n/a,n/a
Super Contra,Clássico,Konami/Digital Eclipse,Konami,25 de julho de 2007,-,-,-
Super Meat Boy,Plataforma,Team Meat,Microsoft Studios,20 de outubro de 2010,-,-,-
Super Puzzle Fighter II Turbo HD Remix,Puzzle & Trivia,Backbone Entertainment,Capcom,29 de agosto de 2007,-,-,-
Super Robot Wars XO,RPG Tático,Namco Bandai Games,Namco Bandai Games,Não lançado,Não lançado,30 de novembro de 2006,22 de novembro de 2013
Super Street Fighter II Turbo HD Remix,Clássico,Backbone Entertainment,Capcom,26 de novembro de 2008,-,-,-
Super Street Fighter IV,Luta,Dimps,Capcom,27 de abril de 2010,30 de abril de 2010,28 de abril de 2010,22 de novembro de 2013
Super Street Fighter IV: Arcade Edition,Luta,"Dimps, Capcom",Capcom,7 de junho de 2011,7 de junho de 2011,7 de junho de 2011,7 de junho de 2011
Super Time Force,Tiro,Capybara Games,Microsoft Studios,14 de maio de 2014,-,-,-
Superman Returns,Ação,EA Tiburon,Electronic Arts,20 de novembro de 2006,24 de novembro de 2006,Não lançado,22 de novembro de 2013
Superstars V8 Next Challenge,Corrida,Milestone,Black Bean Games,Não lançado,Não lançado,Não lançado,22 de novembro de 2013
Superstars V8 Racing,Corrida,Milestone,Black Bean Games,Não lançado,Não lançado,Não lançado,22 de novembro de 2013
Supremacy MMA,Esportes,Kung Fu Factory,505 Games,20 de setembro de 2011,23 de setembro de 2011,Não lançado,22 de novembro de 2013
Supreme Commander,RTS,Hellbent Games,Aspyr,23 de junho de 2008,12 de setembro de 2008,Não lançado,22 de novembro de 2013
Supreme Commander 2,RTS,Wargaming Seattle,Square Enix,16 de março de 2010,19 de março de 2010,Não lançado,22 de novembro de 2013
Surf's Up,Esportes,Ubisoft,Ubisoft,29 de maio de 2007,3 de agosto de 2007,Não lançado,22 de novembro de 2013
Swarm,Plataforma,Hothead Games,Ignition Entertainment,23 de março de 2011,-,-,-
Switchball,Ação & Aventura,Atomic Elbow,Activision,7 de novembro de 2007,-,-,-
Syberia,Ação & Aventura,Microïds,Bandai Namco Entertainment,3 de dezembro de 2014,-,-,-
Syberia II,Ação & Aventura,Microïds,Bandai Namco Entertainment,13 de maio de 2015,-,-,-
Syndicate,Tiro em primeira pessoa,Starbreeze Studios,Electronic Arts,21 de fevereiro de 2012,24 de fevereiro de 2012,Não lançado,22 de novembro de 2013
Takedown: Red Sabre,Tiro,Serellan,505 Games,21 de fevereiro de 2014,-,-,-
Tales from Space: Mutant Blobs Attack,Plataforma,DrinkBox Studios,Midnight City,18 de junho de 2014,-,-,-
Tales from the Borderlands - Episode 1: Zero Sum,Ação & Aventura,Telltale Games,Telltale Games,26 de novembro de 2014,-,-,-
Tales of Vesperia,RPG eletrônico,Namco Tales Studio,Namco Bandai Games,26 de agosto de 2008,26 de junho de 2009,7 de agosto de 2008,22 de novembro de 2013
Tecmo Bowl Throwback,Esportes & Recreação,Southend Interactive,Koei Tecmo,29 de abril de 2010,-,-,-
Teenage Mutant Ninja Turtles,Beat 'em up,Magic Pockets,Activision,22 de outubro de 2013,25 de outubro de 2013,Não lançado,22 de novembro de 2013
Teenage Mutant Ninja Turtles,Clássico,Ubisoft/Digital Eclipse,Ubisoft,14 de março de 2007,-,-,-
Teenage Mutant Ninja Turtles: Danger of the Ooze,Beat 'em up,WayForward Technologies,Activision,28 de outubro de 2014,1 de novembro de 2014,Não lançado,22 de novembro de 2013
Teenage Mutant Ninja Turtles: Out of the Shadows,Ação & Aventura,Red Fly Studio,Activision,28 de agosto de 2013,-,-,-
Teenage Mutant Ninja Turtles: Turtles in Time Re-Shelled,Clássico,Ubisoft Singapore,Ubisoft,5 de agosto de 2009,-,-,-
Teenage Mutant Ninja Turtles: Training Lair,Kinect,Float Hybrid Entertainment,Microsoft Studios,23 de julho de 2014,-,-,-
Tekken 6,"Luta, Beat 'em up",Namco Bandai Games,Namco Bandai Games,27 de outubro de 2009,30 de outubro de 2009,29 de outubro de 2009,22 de novembro de 2013
Tekken Tag Tournament 2,"Luta, Beat 'em up",Namco Bandai Games,Namco Bandai Games,11 de setembro de 2012,30 de novembro de 2012,29 de outubro de 2012,22 de novembro de 2013
Tempest,Clássico,Stainless Games/Atari,Atari,19 de dezembro de 2007,-,-,-
Tenchu Z[nota 63],Stealth,K2 Interactive,Microsoft Game Studios,12 de junho de 2007,29 de junho de 2007,5 de outubro de 2006,22 de novembro de 2013
Tengai Makyou Ziria: Haruka naru Jipang,RPG eletrônico,Hudson Soft,Hudson Soft,Não lançado,Não lançado,23 de março de 2006,22 de novembro de 2013
Terminator Salvation,Tiro em terceira pessoa,Grin,"Equity, Evolved Games",19 de maio de 2009,29 de maio de 2009,Não lançado,22 de novembro de 2013
Terraria - Xbox 360 Edition,Ação & Aventura,Re-Logic,505 Games,27 de março de 2013,-,-,-
Terraria Collector's Edition,Ação & Aventura,"Re-Logic, Engine Software",505 Games,27 de março de 2013,27 de março de 2013,27 de março de 2013,22 de novembro de 2013
Test Drive Unlimited,Corrida,Eden Games,Atari,5 de setembro de 2006,8 de setembro de 2006,26 de abril de 2007,22 de novembro de 2013
Test Drive Unlimited 2,"Corrida, Mundo aberto",Eden Games,Atari,8 de fevereiro de 2011,11 de fevereiro de 2011,30 de junho de 2011,22 de novembro de 2013
Test Drive: Ferrari Racing Legends,Corrida,"Evolved Games, Slightly Mad Studios",Atari,3 de julho de 2012,15 de agosto de 2012,Não lançado,22 de novembro de 2013
Tetris Evolution,Puzzle,Mass Media,THQ,19 de março de 2007,27 de abril de 2007,Não lançado,22 de novembro de 2013
Tetris Splash,Puzzle & Trivia,"Tetris Online, Inc.",Microsoft Studios,3 de outubro de 2007,-,-,-
Texas Cheat 'em,Cartas,Wideload Games,D3 Publisher,13 de maio de 2009,-,-,-
Texas Hold 'em,Cartas,TikGames,Microsoft Studios,23 de agosto de 2006,-,-,-
The Adventures of Tintin: The Secret of the Unicorn,Ação & Aventura,Ubisoft Montpellier,Ubisoft,6 de dezembro de 2011,21 de outubro de 2011,Não lançado,1 de dezembro de 2011
The Amazing Spider-Man,Ação & Aventura,Beenox,Activision,26 de junho de 2012,29 de junho de 2012,Não lançado,27 de junho de 2012
The Amazing Spider-Man 2,Ação & Aventura,Beenox,Activision,29 de abril de 2014,2 de maio de 2014,Não lançado,7 de maio de 2014
The Beatles: Rock Band,Música,Harmonix,MTV Games,9 de setembro de 2009,9 de setembro de 2009,Não lançado,9 de setembro de 2009
The Biggest Loser: Ultimate Workout,Fitness,Blitz Games Studios,THQ,4 de novembro de 2010,10 de novembro de 2010,18 de novembro de 2010,TBA
The Bigs 2,Esportes,Blue Castle Games,2K Sports,7 de julho de 2009,17 de julho de 2009,Não lançado,17 de julho de 2009
The Bigs,Esportes,Blue Castle Games,2K Sports,25 de junho de 2007,Não lançado,Não lançado,Não lançado
The Black Eyed Peas Experience,Música,iNiS,Ubisoft,8 de novembro de 2011,11 de novembro de 2011,10 de novembro de 2011,TBA
The Bureau: XCOM Declassified,Tiro tático,"2K Marin, 2K Australia, 2K China",2K Games,20 de agosto de 2013,23 de agosto de 2013,Não lançado,23 de agosto de 2013
The Chronicles of Narnia: Prince Caspian,Ação & Aventura,Traveller's Tales,Disney Interactive Studios,15 de maio de 2008,20 de junho de 2008,Não lançado,22 de novembro de 2013
The Chronicles of Riddick: Assault on Dark Athena,"Tiro em primeira pessoa, Ação e aventura, Stealth",Starbreeze Studios,Atari,7 de abril de 2009,24 de abril de 2009,Não lançado,22 de novembro de 2013
The Club,Tiro em terceira pessoa,Bizarre Creations,Sega,19 de fevereiro de 2008,8 de fevereiro de 2008,Não lançado,22 de novembro de 2013
The Conveni 200X,Simulação,Hamster Corporation,Masterpiece,Não lançado,Não lançado,30 de março de 2006,22 de novembro de 2013
The Crew,Corrida,"Ivory Tower, Ubisoft Reflections, Asobo Studio",Ubisoft,2 de dezembro de 2014,2 de dezembro de 2014,4 de dezembro de 2014,22 de novembro de 2013
The Cursed Crusade,"Ação & Aventura, Tiro em terceira pessoa",Kylotonn,Atlus,25 de outubro de 2011,11 de outubro de 2011,Não lançado,22 de novembro de 2013
The Darkness,"Tiro em primeira pessoa, Survival Horror",Starbreeze Studios,2K Games,25 de junho de 2007,29 de junho de 2007,15 de maio de 2008,22 de novembro de 2013
The Darkness II,Tiro em primeira pessoa,"Digital Extremes, Top Cow Productions",2K Games,7 de fevereiro de 2012,10 de fevereiro de 2012,23 de fevereiro de 2012,22 de novembro de 2013
The Elder Scrolls IV: Oblivion[nota 64][nota 65],"RPG de ação, Mundo aberto",Bethesda Game Studios,2K Games,20 de março de 2006,24 de março de 2006,26 de julho de 2007,22 de novembro de 2013
The Elder Scrolls IV: Shivering Isles[nota 66],"RPG de ação, Mundo aberto",Bethesda Game Studios,Bethesda Softworks,16 de outubro de 2007,23 de novembro de 2007,Não lançado,22 de novembro de 2013
The Elder Scrolls V: Skyrim,"RPG de ação, Mundo aberto",Bethesda Game Studios,Bethesda Softworks,11 de novembro de 2011,11 de novembro de 2011,8 de dezembro de 2011,22 de novembro de 2013
